datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2024-09-14,78.7,67.9,71.8,68.4,90.1,15.0,195.1,1010.7,76.9,10.1,0.5,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.26050450864264824,-0.9654726308792251,-352.0718434305391,0.006799999999999983,3.6416999999999913
2024-09-15,80.5,66.1,72.2,67.2,86.3,11.4,269.0,1011.1,88.0,10.7,1.0,9,Monsoon,-1.0,-1.8369701987210297e-16,3,-0.587785252292473,-0.8090169943749476,-0.9998476951563913,-0.017452406437283498,-983.670159448761,0.01,5.1311
2024-09-16,80.5,67.9,73.0,67.8,84.9,6.9,288.1,1013.0,88.0,6.7,22.6,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.9505157316277836,0.31067642963073233,-556.8216207448719,0.010400000000000006,5.333000000000003
2024-09-17,82.3,69.7,74.4,69.3,85.4,6.9,108.6,1015.0,77.5,11.1,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9477684100095857,-0.3189593092980699,558.4820132822485,0.010200000000000016,5.340000000000008
2024-09-18,85.9,67.9,76.5,69.3,80.1,10.3,192.7,1014.8,38.6,20.2,3.7,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.2198462043528374,-0.9755345439458566,-181.37971397722143,0.014400000000000007,7.828800000000002
2024-09-19,85.9,71.5,78.1,70.5,79.4,10.3,260.2,1014.4,52.2,19.5,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.9854078984834901,-0.17020949916603276,-805.8862875377679,0.015199999999999988,8.092399999999994
2024-09-20,84.1,71.5,75.8,71.8,88.5,11.4,75.1,1014.5,81.7,15.3,1.3,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9663760793213293,0.2571327931546963,974.9768264272892,0.008,4.1975
2024-09-21,85.9,69.7,77.0,69.1,79.1,10.3,78.1,1015.6,84.8,13.4,12.8,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.9785089851017784,0.20620418539662966,797.2206254319719,0.015800000000000012,8.067600000000004
2024-09-22,87.7,73.3,78.4,68.6,73.4,9.2,178.3,1015.0,63.8,21.5,0.0,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,0.02966624408511081,-0.999559860119384,20.033021305793625,0.019600000000000024,10.177000000000012
2024-09-23,89.5,71.5,78.9,69.1,73.9,10.3,250.6,1015.2,46.5,20.1,2.9,9,Autumn,-1.0,-1.8369701987210297e-16,4,-0.9510565162951536,0.30901699437494723,-0.9432226579476009,-0.3321611318837037,-717.9527905499755,0.019600000000000024,10.350200000000012
